AÑO,CLASIFICACION,CH4_eq,CO2_eq,N2O_eq,Total_Emisiones,Emisiones_netas
1990,"4 Silvicultura, uso y cambio de uso de la tierra",572.3843,126797.1945,165.1414,127534.7202,121788.9066
1990,4(I). Emisiones directas e indirectas de óxido nitroso (N2O) provenientes de entradas de nitrógeno (N) a suelos gestionados diferentes a cultivos y pastizales,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(II). Emisiones y absorciones provenientes del drenaje y rehumedecimiento y otros manejos de suelos orgánicos y minerales,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(II).A. Tierras forestales,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(II).A.1. Tierras forestales que permanecen como tales,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(II).A.2 Tierras convertidas a tierras forestales,0.0000,0.0000,0.0000,0.0000,0.0000
1990,"4(II).B. Cropland (5,6)",0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(II).B.1. Cultivos que permanecen como tales,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(II).B.2. Tierras convertidas a cultivos,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(II).C.  Pastizales,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(II).C.1. Pastizales que permanecen como tales,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(II).C.2. Tierras convertidas a Pastizales,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(II).D. Humedales,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(II).D.1. Humedales que permanecen como tales,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(II).D.1.a. Extracción de turba que permanece como tal,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(II).D.1.b. Tierras inundadas que permanecen como tales,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(II).D.1.c. Otros humedales que permanecen como tales,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(II).D.2. Tierras convertidas a Humedales,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(II).D.2.a. Tierras convertidas a Extracción de turba,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(II).D.2.b. Tierras convertidas en tierras inundadas,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(II).D.2.c. Tierras convertidas a otros humedales,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(II).E. Asentamientos,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(II).E.1 Asentamientos que permanecen como tales,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(II).E.2 Asentamientos que permanecen como tales,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(II).F. Otras tierras,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(II).F.2 Tierras convertidas a Otras tierras,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(II).H. Otros,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(III). Emisiones directas e indirectas de óxido nitroso (N2O) por mineralización/inmovilización de nitrógeno (N) asociadas con la pérdida/ganancia de materia orgánica del suelo,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(III).A. Tierras forestales,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(III).A.1. Tierras forestales que permanecen como tales,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(III).A.2. Tierras convertidas a tierras forestales,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(III).B. Cultivos,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(III).B.2. Tierras convertidas a cultivos,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(III).C. Pastizales,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(III).C.1. Pastizales que permanecen como tales,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(III).C.2. Tierras convertidas a pastizales,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(III).D. Humedales,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(III).D.1. Humedales que permanecen como tales,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(III).D.2. Tierras convertidas a humedales,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(III).E. Asentamientos,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(III).E.1. Asentamientos que permanecen como tales,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(III).E.2. Tierras convertidas a asentamientos,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(III).F. Otras tierras,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(III).F.2. Tierras convertidas a otras tierras,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(IV). Quema de biomasa,547.2052,0.0000,165.1414,712.3465,712.3465
1990,4(IV).A. Tierras forestales,373.8606,0.0000,97.0920,470.9527,470.9527
1990,4(IV).A.1. Tierras forestales que permanecen como tales,373.8606,0.0000,97.0920,470.9527,470.9527
1990,4(IV).A.1.a. Quema controlada,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(IV).A.1.b. Incendios forestales,373.8606,0.0000,97.0920,470.9527,470.9527
1990,4(IV).A.2. Tierras convertidas en tierras forestales,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(IV).A.2.a. Quema controlada,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(IV).A.2.b. Incendios forestales,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(IV).B. Cultivos,151.6946,0.0000,46.6826,198.3772,198.3772
1990,4(IV).B.1. Cultivos que permanecen como tales,151.6946,0.0000,46.6826,198.3772,198.3772
1990,4(IV).B.1.a. Quema controlada,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(IV).B.1.b. Incendios forestales,151.6946,0.0000,46.6826,198.3772,198.3772
1990,4(IV).B.2. Tierras convertidas a Cultivos,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(IV).B.2.a. Quema controlada,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(IV).B.2.b. Incendios forestales,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(IV).C. Pastizales,21.6499,0.0000,21.3668,43.0167,43.0167
1990,4(IV).C.1. Pastizales que permanecen como tales,21.6499,0.0000,21.3668,43.0167,43.0167
1990,4(IV).C.1.a. Quema controlada,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(IV).C.1.b. Incendios forestales,21.6499,0.0000,21.3668,43.0167,43.0167
1990,4(IV).C.2. Tierras convertidas en Pastizales,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(IV).C.2.a. Quema controlada,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(IV).C.2.b. Incendios forestales,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(IV).D. Humedales,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(IV).D.1. Humedales que permanecen como tales,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(IV).D.1.a. Quema controlada,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(IV).D.1.b. Incendios forestales,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(IV).D.2. Tierras convertidas en humedales,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(IV).D.2.a. Quema controlada,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(IV).D.2.b. Incendios forestales,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(IV).E. Asentamientos,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(IV).E.1. Asentamientos que permanecen como tales,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(IV).E.1.a. Quema controlada,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(IV).E.1.b. Incendios forestales,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(IV).E.2. Tierras convertidas en Asentamientos,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(IV).E.2.a. Quema controlada,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(IV).E.2.b. Incendios forestales,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(IV).F. Otras tierras,0.0000,0.0000,0.0000,0.0000,0.0000
1990,4(IV).F.2. Tierras convertidas en Otras tierras.,0.0000,0.0000,0.0000,0.0000,0.0000
